srcip,dstip,sport,dport,proto,data
10.203.141.14,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
10.203.140.108,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'\xe7\x8e\x8b\xe9\x93\xad\xe6\x98\x8a\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.141.14,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry "
10.203.141.14,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_homekit._tcp.local.'"" "
10.203.147.57,10.203.255.255,5684,5684,17,"Ether / IP / UDP 10.203.147.57:5684 > 10.203.255.255:5684 / Raw"
10.203.231.207,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe6\x96\x87\xe6\x9d\xb0\xe7\x9a\x84iPad pro._companion-link._tcp.local.'"" "
10.203.144.13,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'iPad (107)._companion-link._tcp.local.'"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Qry ""b'\xe5\xbe\x90\xe6\xb5\xb7\xe5\x84\x92\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.217.228,10.203.255.255,41149,5684,17,"Ether / IP / UDP 10.203.217.228:41149 > 10.203.255.255:5684 / Raw"
10.203.150.183,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'sssue._rdlink._tcp.local.'"" "
10.203.254.128,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
10.203.254.128,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry "
10.203.254.128,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry "
10.203.145.36,224.0.0.251,55726,5353,17,"Ether / IP / UDP / DNS Qry ""b'_lyra-mdns._udp.local.'"" "
10.203.225.50,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_rdlink._tcp.local.'"" "
10.203.200.159,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'CA3F3751._lyra-mdns._udp.local.'"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Ans ""[b'rpMac=0', b'rpHN=354e72158afe', b'rpFl=0x10040', b'rpHA=ae8a258811d3', b'rpVr=610.71.1', b'rpAD=9cda7c690f08', b'rpHI=ae52a46cb039', b'rpBA=46:7B:2C:FC:A3:15']"" "
10.203.148.43,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'\xe6\x9b\xb9\xe5\xa5\x95\xe6\xb1\xa0\xe7\x9a\x84iPad ._companion-link._tcp.local.'"" "
10.203.182.213,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPad \xe5\xb0\x8f\xe7\xbb\xbf._companion-link._tcp.local.'"" "
10.203.196.8,10.203.255.255,5684,5684,17,"Ether / IP / UDP 10.203.196.8:5684 > 10.203.255.255:5684 / Raw"
10.203.252.208,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_rdlink._tcp.local.'"" "
10.203.200.159,224.0.0.251,49969,5353,17,"Ether / IP / UDP / DNS Qry ""b'_lyra-mdns._udp.local.'"" "
10.203.188.40,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'model=J171aAP']"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Qry ""b'\xe8\xb0\xad\xe7\x9a\x93\xe6\x96\x87\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.191.235,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'model=Mac14,15', b'osxvers=23', b'icolor=7']"" "
10.203.246.218,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'model=J171aAP']"" "
10.203.240.157,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPad (60)._companion-link._tcp.local.'"" "
10.203.216.26,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe6\xb2\x88\xe7\x9a\x96\xe6\x99\xa8\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.243.253,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'model=J181AP']"" "
10.203.152.66,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
10.203.152.66,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry "
10.203.152.66,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry "
10.203.152.66,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_rdlink._tcp.local.'"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Ans ""b'sssue.local.'"" "
10.203.238.171,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPhone1._rdlink._tcp.local.'"" "
10.203.133.10,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'st\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.217.64,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe6\x9c\xa8\xe5\xad\x90\xe7\x9a\x84iPad (2)._companion-link._tcp.local.'"" "
10.203.231.207,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpMac=0', b'rpHN=c00720ca6e78', b'rpFl=0x10000', b'rpHA=c95d158100d1', b'rpVr=610.71.1', b'rpAD=b01db082184e', b'rpHI=9b8e76e41dea', b'rpBA=B8:C5:26:48:9D:FB']"" "
10.203.251.5,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'model=J181AP']"" "
10.203.205.104,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe9\x9c\x9e\xe9\xb9\xbf\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.205.47,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpBA=B1:D4:27:99:97:7E', b'rpAD=dfd3ed3c6da5', b'rpFl=0x10040', b'rpHN=1a9ba6251d89', b'rpMac=0', b'rpVr=610.71.1']"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Ans ""[b'rpBA=B1:D4:27:99:97:7E', b'rpAD=dfd3ed3c6da5', b'rpFl=0x10040', b'rpHN=1a9ba6251d89', b'rpMac=0', b'rpVr=610.71.1']"" "
10.203.234.238,10.203.255.255,49166,5684,17,"Ether / IP / UDP 10.203.234.238:49166 > 10.203.255.255:5684 / Raw"
10.203.207.154,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpBA=B7:4F:C8:D1:20:4E', b'rpAD=886587dc0769', b'rpFl=0x20040', b'rpHN=e8c3bf9912fb', b'rpMac=0', b'rpVr=550.7']"" "
10.203.200.109,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpMac=0', b'rpHN=0c81f5d5a91a', b'rpFl=0x20040', b'rpHA=c55c732d55fa', b'rpVr=360.4', b'rpAD=9aeefeac8b2f', b'rpHI=36bdf50ab3ef', b'rpBA=D6:28:8C:17:44:A0']"" "
10.203.188.40,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpBA=93:3F:38:E1:1D:13', b'rpAD=ced7ec6a66e6', b'rpFl=0x30040', b'rpHN=3ec977c79713', b'rpMac=0', b'rpVr=440.10']"" "
10.203.159.171,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe5\xbc\xa0\xe5\xae\x87\xe8\xa1\xa1\xe7\x9a\x84MacBook Pro._companion-link._tcp.local.'"" "
10.203.216.26,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpBA=3A:AE:8B:F3:53:89', b'rpAD=4531f383f2ac', b'rpFl=0x30040', b'rpHN=d6f2bdcf7b4b', b'rpMac=0', b'rpVr=550.8.1']"" "
